"num_eventos,dia_semana,fecha",hora,mes_y_ano,anio,descripcion,lugar
"1 evento, martes, 14 de mayo",16:00,Mayo de 2024,2024,Entrega de 3000 títulos de propiedad para los programas de vivienda del ex fundo Oquendo en el Callao,Lugar: Callao.
"2 eventos, miércoles, 15 de mayo",09:00,Mayo de 2024,2024,Sesión del Consejo de Ministros,Lugar: Palacio de Gobierno.
"2 eventos, miércoles, 15 de mayo",13:30,Mayo de 2024,2024,Celebración del Día Nacional de las micro y pequeñas empresas,Lugar: Palacio de Gobierno
"2 eventos, jueves, 16 de mayo",09:00,Mayo de 2024,2024,Inauguración del IV Consejo de Estado Regional,Lugar: San Borja.
"2 eventos, jueves, 16 de mayo",14:00,Mayo de 2024,2024,Juramentación de ministro del Interior,Lugar: Palacio de Gobierno.
"1 evento, viernes, 17 de mayo",11:00,Mayo de 2024,2024,"REGIÓN AREQUIPA - Clausura de la reunión de ministras y ministros de los sectores mujer y comercio, integrantes de las 21 economías de APEC Asia Pacífico",Lugar: Arequipa.
"1 evento, sábado, 18 de mayo",N.A.,Mayo de 2024,2024,No hubo actividades oficiales que registrar,N.A.
"2 eventos, domingo, 19 de mayo",09:00,Mayo de 2024,2024,Promulgación de la ley que garantiza y promueve el acceso y uno de los medicamentos genéricos,Lugar: Palacio de Gobierno.
"2 eventos, domingo, 19 de mayo",10:15,Mayo de 2024,2024,Inicio de actividades por la conmemoración de los 200 años de la Batalla de Junín,Lugar: Frontis de Palacio de Gobierno.
"3 eventos, lunes, 20 de mayo",10:00,Mayo de 2024,2024,Reunión de trabajo con alcaldes provinciales y distritales de las provincias de Pataz y Sánchez Carrión,"Participaron también el premier Gustavo Adrianzén; el ministro de Economía, José Arista; el viceministro de seguridad pública, Julio Díaz; y el congresista Carlos Alva. Lugar: Palacio de Gobierno."
"3 eventos, lunes, 20 de mayo",13:15,Mayo de 2024,2024,"Entrega de vehículos incautados y administrados por el PRONABI, en beneficio de los Gores, municipios y otras entidades del Estado","Lugar: Minjus, Miraflores."
"3 eventos, lunes, 20 de mayo",19:00,Mayo de 2024,2024,Ceremonia de firma de convenio para el fortalecimiento de la industria nacional en el sector defensa,Lugar: San Borja.
"2 eventos, martes, 21 de mayo",09:30,Mayo de 2024,2024,Inauguración del Simposio -XV Encuentro Internacional de Minería,Lugar: Miraflores.
"2 eventos, martes, 21 de mayo",12:30,Mayo de 2024,2024,"Presentación de la campaña multisectorial ""Niños de Hierro"" para la prevención y reducción de la anemia materno infantil al 2030",Lugar: Rímac.
"1 evento, miércoles, 22 de mayo",09:00,Mayo de 2024,2024,Consejo de Ministros,Lugar: Palacio de Gobierno
"1 evento, jueves, 23 de mayo",11:00,Mayo de 2024,2024,Declaración de interés sectorial y lanzamiento del distintivo “Emoliente Bandera”,Lugar: San Isidro.
"2 eventos, viernes, 24 de mayo",08:30,Mayo de 2024,2024,Inauguración de la II Reunión de Comando Policial - RECOPOL 2024,N.A.
"2 eventos, viernes, 24 de mayo",10:00,Mayo de 2024,2024,Ceremonia de Lanzamiento “Certificados de Carrera de Google”,N.A.
